T1/deathrate-Tdeath/Tpopu,T2/deathrate-Tdeath/Tcases,Total_deaths-July30,Population,Total_cases-July30,Total_tests_June20,Population_density,Area (sq. mi.),Net migration,GDP_per_capita,GNP per Capita,Literacy (%),Climate,Birthrate,Industry,Agriculture,Deathrate,median_age,aged_65_older,aged_70_older,extreme_poverty,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,Political_stability,Physical Integrity Rights Index,Disappearance,Extrajudicial Killing,Political Imprisonment,Torture,Freedom of Religion (New),Independence of Judiciary,Inflation,Migration,Control of Corruption: Percentile Rank,Government Effectiveness: Percentile Rank,Political Stability and Absence of Violence/Terrorism: Percentile Rank,Regulatory Quality: Percentile Rank,Rule of Law: Percentile Rank,Voice and Accountability: Percentile Rank
8.41E-08,0.002583979,1,11890781,387,12929,423.062,27830,-0.06,702.225,290,51.6,2,42.22,0.203,0.463,13.46,17.5,2.562,1.504,71.7,6.05,0,0,6.144,0.8,1.904762,2,2,0,0,0,2,0,20.22556256,20000,5.288462,8.173077,7.619048,13.46154,5.769231,5.418719
0,0,0,16718971,234,0,90.672,181040,0,3645.07,1230,69.4,2,26.9,0.3,0.35,9.06,25.6,4.412,2.385,0,4,2,33.7,66.229,0.8,39.52381,4,2,1,1,0,2,0,3.428652631,-149999,78.36539,64.42308,71.90476,43.26923,67.78846,79.80296
1.46E-05,0.022428282,387,26545864,17255,973558,50.885,475440,0,3364.926,1360,79,1.5,33.89,0.17,0.448,13.47,18.8,3.165,1.919,23.8,7.2,0,0,2.735,1.3,8.571428,3,2,1,0,0,2,0,2.760214909,-24000,8.653846,32.21154,51.42857,32.69231,11.05769,13.7931
0.000236579,0.07711707,8929,37742157,115785,3498,4.037,9984670,5.96,44017.591,42870,97,0,10.78,0.294,0.022,7.8,41.4,16.984,10.797,0.5,7.37,12,16.6,0,2.5,72.38095,7,2,2,2,1,2,2,2.273096464,1100000,11.05769,19.71154,8.571428,20.19231,12.5,18.2266
4.14E-05,0.009692373,23,555988,2373,110,135.58,4033,-12.07,6222.554,0,76.6,3,24.87,0.219,0.121,6.55,25.7,4.46,3.437,0,2.42,2.1,16.5,0,2.1,0,7,2,2,2,1,2,2,0,0,94.71154,94.71154,84.7619,93.75,94.71154,96.05911
1.52E-05,0.004926108,1,65720,203,3050,256.496,262,18.75,49903.029,0,98,2,12.74,0.032,0.014,4.89,0,0,0,0,13.22,0,0,0,0,70.95238,0,0,0,0,0,0,0,0,0,68.26923,85.57692,90,80.76923,76.44231,64.03941
1.22E-05,0.012812161,59,4829764,4605,0,7.479,622984,0,661.24,390,51,2,33.91,0.2,0.55,18.65,18.3,3.655,2.251,0,6.1,0,0,16.603,1,3.333333,3,2,0,1,0,0,0,4.510380595,-150000,10.57692,2.884615,2.857143,6.730769,3.846154,14.77833
4.57E-06,0.080213904,75,16425859,935,5342,11.833,1284000,-0.11,1768.153,630,47.5,2,45.73,0.259,0.335,16.38,16.7,2.486,1.446,38.4,6.1,0,0,5.818,0,7.142857,3,1,1,1,0,2,0,7.264986197,10000,6.730769,6.730769,8.095238,11.53846,7.211538,8.374384
0.000490526,0.026523466,9377,19116209,353536,232108,24.282,756950,0,22767.037,13610,96.2,3,15.23,0.493,0.06,5.81,35.4,11.087,6.938,1.3,8.46,34.2,41.5,0,2.11,47.14286,5,2,1,2,0,2,2,4.651401381,85285,81.73077,81.73077,61.42857,88.94231,83.65385,82.26601
3.24E-06,0.053252409,4659,1439323774,87489,0,147.674,9596960,-0.4,15308.712,8690,90.9,1.5,13.25,0.473,0.125,6.97,38.7,10.641,5.929,0.7,9.74,1.9,48.4,0,4.34,25.23809,0,0,0,0,0,0,0,4.05448338,-1624595,45.67308,69.71154,36.66667,48.07692,48.07692,8.866995
0.000192796,0.034298301,9810,50882884,286020,131110,44.223,1138910,-0.31,13254.949,5830,92.5,2,20.48,0.342,0.125,5.58,32.2,7.646,4.312,4.5,7.44,4.7,13.5,65.386,1.71,11.42857,1,0,0,0,1,2,1,4.820863541,-147004,44.71154,50,17.61905,65.38461,38.46154,52.70936
8.05E-06,0.018518519,7,869595,378,0,437.352,2170,0,1413.89,760,56.5,2,36.93,0.04,0.4,8.2,20.4,2.963,1.726,18.1,11.88,4.4,23.6,15.574,2.2,31.42857,8,2,2,2,2,1,1,0.776345328,-10000,22.59615,3.846154,39.04762,11.05769,12.01923,33.00492
1.01E-05,0.016587678,56,5518092,3376,14448,15.405,342000,-0.17,808.133,0,83.8,2,42.57,0.57,0.062,12.93,19,3.402,2.063,37,7.2,1.7,52.3,47.964,0,0,4,2,1,1,0,2,1,0,0,7.692307,10.09615,29.52381,7.211538,11.53846,15.27094
2.75E-05,0.008097166,140,5094114,17290,59648,96.079,51100,0.51,15524.995,11040,96,2,18.32,0.299,0.088,4.36,33.6,9.468,5.694,1.3,8.78,6.4,17.4,83.841,1.13,52.38095,6,2,1,2,1,1,1,1.978312517,16384,70.67308,67.78846,62.38095,69.23077,69.23077,84.72906
3.79E-06,0.006258606,100,26378275,15978,374,76.399,322460,-0.07,3601.006,0,50.9,2,35.11,0.171,0.279,14.84,18.7,2.933,1.582,28.2,2.42,0,0,19.351,0,0,2,1,0,1,0,2,0,0,0,36.53846,31.73077,15.71429,46.15385,30.76923,37.93103
3.51E-05,0.028396766,144,4105268,5071,66975,73.726,56542,1.58,22669.797,12430,98.5,0,9.61,0.308,0.07,11.48,44,19.724,13.053,0.7,5.59,34.3,39.9,0,5.54,61.90476,8,2,2,2,2,2,2,1.167417744,-40000,60.09615,69.23077,73.80952,68.26923,62.98077,64.53202
7.68E-06,0.033500193,87,11326616,2597,278519,110.408,110860,-1.58,2900,0,97,2,11.89,0.261,0.055,7.22,43.1,14.738,9.719,0,8.27,17.1,53.3,85.198,5.2,60,4,2,2,0,0,0,0,0,-109998,61.05769,44.71154,67.61905,6.25,35.09615,9.852217
2.17E-05,0.017527675,19,875899,1084,270680,127.657,9250,0.43,32415.132,23720,97.6,3,12.56,0.198,0.037,7.68,37.3,13.416,8.563,0,9.24,19.6,52.7,0,3.4,55.71429,7,2,2,2,1,0,2,1.52089328,25001,74.03846,77.88461,64.7619,81.25,75.96154,80.78818
3.54E-05,0.023191776,379,10708982,16342,0,137.176,78866,0.97,32605.906,0,99.9,3,9.02,0.393,0.034,10.59,43.3,19.027,11.58,0,6.82,30.5,38.3,0,6.63,0,8,2,2,2,2,2,2,0,0,69.23077,78.36539,87.14286,87.01923,81.73077,78.32513
2.39E-06,0.023751387,214,89561404,9010,0,35.879,2345410,0,4881.406,0,65.5,2,43.69,0.11,0.55,13.27,17,3.02,1.745,77.1,6.1,0,0,4.472,0,0,0,0,0,0,0,2,0,0,0,3.846154,5.769231,4.761905,5.769231,2.884615,7.389163
0.000106177,0.044808743,615,5792203,13725,14538,136.52,43094,2.48,46682.515,55220,100,3,11.13,0.246,0.018,10.36,42.3,19.677,12.325,0.2,6.41,19.3,18.8,0,2.5,64.7619,8,2,2,2,2,2,2,1.555341415,75998,98.55769,97.11539,82.38095,94.23077,96.63461,98.02956
5.87E-05,0.011415076,58,988002,5081,416,41.285,23000,0,2705.406,1880,67.9,1,39.53,0.225,0.179,19.31,25.4,4.213,2.38,22.5,6.05,1.7,24.5,0,1.4,11.90476,4,2,1,0,1,2,0,0.448845121,4501,26.44231,17.30769,41.42857,24.51923,17.30769,11.33005
0,0,0,71991,18,33377,98.567,754,-13.87,9673.367,6990,94,2,15.27,0.328,0.177,6.73,0,0,0,0,11.62,0,0,0,3.8,67.61905,8,2,2,2,2,2,2,0.997822968,0,70.19231,40.86538,89.04762,57.69231,74.03846,74.38424
0.000105643,0.016874034,1146,10847904,67915,0,222.873,48730,-3.22,14600.861,6630,84.7,2,23.22,0.306,0.112,5.73,27.6,6.981,4.419,1.6,8.2,8.5,19.1,55.182,1.6,39.52381,4,2,0,2,0,2,0,3.672633475,-151333,24.51923,39.42308,47.61905,50.48077,38.94231,51.23153
0.000320636,0.067049899,5657,17643060,84370,90000,66.939,283560,-8.58,10581.936,5890,92.5,2,22.29,0.312,0.07,4.23,28.1,7.104,4.458,3.6,5.55,2,12.3,80.635,1.5,29.52381,4,2,1,1,0,2,0,1.463070759,-30776,32.69231,42.78846,43.33333,16.34615,28.84615,47.29064
4.67E-05,0.050918865,4774,102334403,93757,35411,97.999,1001450,-0.22,10550.206,0,57.7,1,22.94,0.357,0.149,5.23,25.3,5.159,2.891,1.3,17.31,0.2,50.1,89.827,1.6,0,0,0,0,0,0,0,1,0,0,30.76923,30.76923,11.90476,17.78846,37.5,13.30049
6.77E-05,0.027048675,439,6486201,16230,854,307.811,21040,-3.74,7292.458,3560,80.2,2,26.61,0.302,0.099,5.78,27.6,8.273,5.417,2.2,8.87,2.5,18.8,90.65,1.3,25.23809,4,2,1,1,0,2,0,1.380712237,-202694,29.80769,36.53846,33.33333,53.84615,19.71154,48.27586
3.64E-05,0.016606968,51,1402985,3071,0,45.194,28051,0,22604.873,7060,85.7,2,35.59,0.906,0.03,15.06,22.4,2.846,1.752,0,7.78,0,0,24.64,2.1,27.61905,4,1,2,0,1,2,0,12.52914974,79999,2.403846,9.615385,43.80952,4.807693,6.730769,2.463054
0,0,0,3546427,279,58955,44.304,121320,0,1510.459,0,58.6,1.5,34.33,0.254,0.102,9.6,19.3,3.607,2.171,0,6.05,0.2,11.4,0,0.7,13.80952,0,0,0,0,0,0,0,0,-49999,9.134615,2.403846,24.76191,1.923077,5.288462,0.4926108
5.20E-05,0.033642126,69,1326539,2051,714,31.033,45226,-3.16,29481.252,18190,99.8,3,10.04,0.294,0.04,13.25,42.7,19.452,13.491,0.5,4.02,24.5,39.3,0,4.69,59.52381,7,2,2,2,1,2,2,3.977280948,-4999,89.90385,84.61539,66.19048,91.82692,86.53846,89.65517
2.29E-06,0.01582907,263,114963583,16615,26517,104.957,1127127,0,1729.927,740,42.7,2,37.98,0.099,0.475,14.86,19.8,3.526,2.063,26.7,7.47,0.4,8.5,7.96,0.3,3.809524,2,1,1,0,0,0,1,6.324334745,-60001,37.5,29.32692,9.523809,13.94231,36.53846,16.25616
0,0,0,48865,220,8241,35.308,1399,1.41,22000,0,0,0,14.05,0.11,0.27,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,896444,27,388,49.562,18270,-3.14,8702.975,4970,93.7,2,22.55,0.135,0.089,5.65,28.6,6.224,3.284,1.4,14.49,10.2,34.8,0,2.3,60,5,2,2,1,0,0,1,2.994733505,-20000,67.30769,62.5,70.95238,44.71154,50,54.6798
5.94E-05,0.044321703,329,5540718,7423,1300,18.136,338145,0.95,40585.721,44580,100,3,10.45,0.295,0.028,9.86,42.8,21.228,13.264,0,5.76,18.3,22.6,0,3.28,70.95238,8,2,2,2,2,1,2,0.932456147,70000,100,99.03846,81.90476,97.11539,100,98.52217
0.000463496,0.162156368,30254,65273512,186573,108200,122.578,547030,0.66,38605.671,37970,99,4,11.99,0.214,0.022,9.14,42,19.718,13.079,0,4.77,30.1,35.6,0,5.98,40.47619,7,2,2,2,1,0,2,0.995561444,400002,87.98077,91.82692,51.90476,83.65385,88.94231,88.17734
0,0,0,280904,62,0,77.324,4167,2.94,17500,0,98,2,16.68,0.19,0.031,4.69,32.7,7.775,4.593,0,22.63,0,0,0,0,0,0,0,0,0,0,0,0,0,-500,0,0,0,0,0,0
2.20E-05,0.006664853,49,2225728,7352,2756,7.859,267667,0,16562.413,6610,63.2,2,36.16,0.592,0.061,12.25,23.1,4.45,2.976,3.4,7.2,0,0,0,6.3,29.52381,6,2,2,1,1,2,1,1.303092932,5000,19.71154,18.75,37.61905,16.82692,24.51923,22.16749
3.31E-06,0.019851117,8,2416664,403,724,207.566,11300,1.57,1561.767,0,40.1,2,39.37,0.142,0.308,12.25,17.5,2.339,1.417,10.1,1.91,0.7,31.2,7.876,1.1,0,3,2,1,0,0,2,0,0,0,38.94231,27.40385,44.76191,28.36539,36.05769,38.42365
4.26E-06,0.014655172,17,3989175,1160,20579,65.032,69700,-4.7,9745.079,3790,99,3,10.41,0.275,0.172,9.23,38.7,14.864,10.244,4.2,7.11,5.3,55.5,0,2.6,19.52381,4,2,1,1,0,0,1,6.485833026,-50000,76.44231,74.03846,30,83.17308,63.94231,56.15763
0.000109102,0.043800132,9141,83783945,208698,2755770,237.016,357021,2.18,45229.245,43490,99,3,8.25,0.296,0.009,10.62,46.6,21.453,15.957,0,8.31,28.2,33.1,0,8,55.23809,7,2,2,1,2,2,2,1.537468922,1850000,95.19231,93.26923,66.66666,94.71154,91.34615,95.07389
5.63E-06,0.004979796,175,31072945,35142,129461,126.719,239460,-0.64,4227.63,1490,74.8,2,30.52,0.246,0.366,9.72,21.1,3.385,1.948,12,4.97,0.3,7.7,41.047,0.9,35.71429,4,2,1,1,0,2,1,13.39470133,-100000,52.88462,46.15385,47.14286,50,56.73077,67.98029
1.95E-05,0.04612588,203,10423056,4401,87052,83.479,131940,2.35,24574.382,18090,97.5,3,9.68,0.213,0.054,10.24,45.3,20.396,14.524,1.5,4.55,35.3,52,0,4.21,29.52381,6,2,2,2,0,0,1,0.669504795,49996,55.76923,65.86539,50,64.42308,59.13462,75.36946
0,0,0,56772,14,1362,0.137,2166086,-8.37,20000,0,0,1,15.93,0,0,7.84,0,0,0,0,2.16,0,0,0,0,95.71429,0,0,0,0,0,0,0,0,0,84.13461,76.92308,100,89.90385,94.23077,91.62562
0,0,0,112519,24,1406,317.132,344,-13.92,13593.877,9650,98,2,22.08,0.18,0.054,6.88,29.4,7.304,5.021,0,10.71,0,0,0,3.7,67.14286,6,2,1,2,1,2,2,2.120219344,-3497,66.82692,43.75,85.2381,40.38462,62.5,65.51724
2.96E-05,0.014044944,5,168783,356,7200,304.128,541,0,21000,0,99,2,18.79,0,0,4.48,31.4,9.551,5.493,0,21.52,0,0,0,0,55.23809,0,0,0,0,0,0,0,0,-2532,86.53846,63.46154,67.14286,58.17308,87.98077,0
0.000104211,0.038237824,1867,17915567,48826,0,157.834,108890,-1.67,7423.808,4060,70.6,2,29.88,0.188,0.227,5.2,22.9,4.694,3.016,8.7,10.18,0,0,76.665,0.6,16.19048,5,2,1,2,0,2,0,3.619188154,-46073,22.11539,23.55769,27.14286,45.67308,13.46154,35.46798
0.000193879,0.051587302,13,67052,252,1500,0,78,3.84,20000,0,0,3,8.81,0.1,0.03,10.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.50E-06,0.006351837,46,13132792,7242,714,51.755,245857,-3.06,1998.926,800,35.9,2,41.76,0.362,0.237,15.48,19,3.135,1.733,35.3,2.42,0,0,17.45,0.3,14.28571,4,2,1,1,0,1,0,16.72593466,-50000,13.94231,16.34615,16.66667,21.63461,9.134615,26.10837
1.32E-05,0.013124685,26,1967998,1981,1037,66.191,36120,-1.57,1548.675,660,42.4,2,37.22,0.12,0.62,16.53,19.4,3.002,1.565,67.1,2.42,0,0,6.403,0,13.80952,6,2,1,2,1,2,0,5.946002134,-9995,3.365385,7.211538,21.90476,9.615385,8.653846,29.06404
2.54E-05,0.049875312,20,786559,401,5653,3.952,214970,-2.07,7435.047,4460,98.8,2,18.28,0.203,0.37,8.28,26.3,5.305,2.837,0,11.62,0,0,77.159,1.6,31.42857,6,2,1,2,1,2,1,1.916721497,-24552,46.63462,41.82692,40.95238,32.21154,41.82692,56.65025
1.41E-05,0.021721533,161,11402533,7412,154989,398.448,27750,-3.4,1653.173,760,52.9,2,36.44,0.2,0.28,12.17,24.3,4.8,2.954,23.5,6.65,2.9,23.1,22.863,0.7,13.33333,4,1,1,2,0,1,0,13.36181049,-175000,9.615385,1.442308,23.33333,8.653846,15.86539,26.60098
0.000132464,0.031670931,1312,9904608,41426,86743,82.805,112090,-1.99,4541.795,2250,76.2,2,28.24,0.312,0.139,5.28,24.9,4.652,2.883,16,7.21,2,0,84.169,0.7,16.19048,3,1,1,1,0,2,0,4.211120495,-14001,29.32692,27.88461,26.66667,34.61538,16.34615,31.52709
0,0,0,7496988,0,51663,0,1092,5.24,28800,0,93.5,2,7.29,0.092,0.001,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.30769,98.07692,74.7619,100,95.19231,62.06897
6.17E-05,0.132297447,596,9660350,4505,1357413,108.043,93030,0.86,26777.561,12870,99.4,3,9.72,0.312,0.037,13.11,43.4,18.577,11.976,0.5,7.55,26.8,34.8,0,7.02,63.80952,6,2,2,2,0,2,2,3.665601803,29999,59.61538,70.19231,73.33334,73.07692,72.11539,58.62069
2.93E-05,0.00534188,10,341250,1872,128383,3.404,103000,2.38,46482.958,60830,99.9,3,13.64,0.15,0.086,6.72,37.3,14.431,9.207,0.2,5.31,14.3,15.2,0,2.91,84.7619,8,2,2,2,2,2,2,0.481958379,1900,93.75,91.34615,96.66666,90.38461,93.26923,94.58128
2.59E-05,0.02181198,35747,1380004385,1638870,531275,450.419,3287590,-0.07,6426.674,1820,59.5,2.5,22.01,0.276,0.186,8.18,28.2,5.989,3.414,21.2,10.39,1.9,20.6,59.55,0.53,11.42857,0,0,0,0,0,0,0,2.997597738,-2449998,49.51923,63.94231,14.7619,46.63462,55.28846,60.09852
1.85E-05,0.047566205,5058,273523621,106336,117726,145.725,1919440,0,11188.744,3540,87.9,2,20.34,0.458,0.134,6.25,29.3,5.319,3.053,5.7,6.32,2.8,76.1,64.204,1.04,16.66667,3,2,1,0,0,0,0,4.244464291,-825000,46.15385,59.13462,27.61905,50.96154,42.78846,52.21675
